CIT_ID_NO_x,legal_form,sector,province,small_business,revenue,expenditure,income,tax_free_income_total,tax_base_before_deductions,deductions_from_tax_base,income_tax_base_after_deductions,citax,weight_x,tax_collected_under_current_policy,weighted_tax_collected_under_current_policy,ID_NO,CIT_ID_NO_y,tax_collected_under_benchmark_cit_rate_small_business,weight_y,weighted_tax_collected_under_benchmark_cit_rate_small_business,tax_expenditure_Small Corporations Tax rate,tax_expenditure_Rate at which Small Corporations are Taxed,CIT_ID_NO_x,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_statistic_purpose_art_17_1_4d_etc,weight_x,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_statistic_purpose_art_17_1_4d_etc,"tax_expenditure_Revenue(s) Tax-Free, Intended For Statutory Purposes or Other Purposes","tax_expenditure_Dochody(Przych.) Wolne Od Pod.,Cele Stat.",CIT_ID_NO_y,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_art_17_1_4,weight_y,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_art_17_1_4,tax_expenditure_Tax-Free Income from (Article 17 (1) (4)),tax_expenditure_Dochody Wolne Od Podatku (Art.17 Ust.1 Pkt 4),CIT_ID_NO_x,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_non_agriculture_art_17_1_4e,weight_x,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_non_agriculture_art_17_1_4e,tax_expenditure_Tax Free Income from Non-Agricultural Activities,tax_expenditure_Dochody Z DziaÅ‚alnoÅ›ci Pozarolniczej-Wolne Od Podatku,CIT_ID_NO_y,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_subsidies_art_17_1_21,weight_y,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_subsidies_art_17_1_21,"tax_expenditure_Grants, Subsidies, Surcharges And Other Gratuitous Benefits","tax_expenditure_Dotacje, Subwen., DopÅ‚aty I Inne Nieodp. Swiad.-Wolne Od Podatku",CIT_ID_NO_x,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_art_17_1_23_24,weight_x,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_art_17_1_23_24,tax_expenditure_Totax-Free Income Pursuant to Article 17 Clause 1 point 23 and 24,tax_expenditure_DochÃ³d Wolny Od Podatku na Podstawie Art. 17 Ust.1 Pkt 23 I Pkt 24,CIT_ID_NO_y,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_art_17_1_34,weight_y,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_art_17_1_34,tax_expenditure_Tax-Free Income Pursuant to Article 17(1) point 34,tax_expenditure_Dochody Wolne Od Podatku Na Podstawie Art.17 Ust.1 Pkt.34,CIT_ID_NO_x,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_art_17_1_39,weight_x,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_art_17_1_39,tax_expenditure_Tax-Free Income Pursuant to Article 17(1) point 39,tax_expenditure_Dochody Wolne Od Podatku na Podstawie Art.17 Ust.1 Pkt.34,CIT_ID_NO_y,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_housing_coops_art_17_1_44,weight_y,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_housing_coops_art_17_1_44,"tax_expenditure_Income of Housing Cooperatives, Housing Associations-Tax Free","tax_expenditure_Dochody SpÃ³Å‚dzielni Mieszkan.,WspÃ³lnot Mieszkan-Wolne od Podatku",CIT_ID_NO_x,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_subsidies_state_local_art_17_1_47,weight_x,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_subsidies_state_local_art_17_1_47,tax_expenditure_Subsidies from the State Budget or Local Government-Tax-Free,tax_expenditure_Dotacje z BudÅ¼etu PaÅ„stwa Lub Jst- Wolne od Podatku,CIT_ID_NO_y,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_amounts_government_agencies_art_17_1_48,weight_y,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_amounts_government_agencies_art_17_1_48,tax_expenditure_Amounts from Government Agencies or Executive Agencies-Tax-Free,tax_expenditure_Kwoty od Agencji RzÄ…dowych Lub Agencji Wykonawczych-Wolne od Podat.,CIT_ID_NO_x,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_agriculture_producer_groups_art_17_1_49,weight_x,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_agriculture_producer_groups_art_17_1_49,tax_expenditure_Income of Agricultural Producer Groups-Tax Free,tax_expenditure_Dochody Grup ProducentÃ³w Rolnych-Wolne od Podatku Na,CIT_ID_NO_y,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_financial_programs_central_europe_art_17_1_52,weight_y,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_financial_programs_central_europe_art_17_1_52,tax_expenditure_Income from Paying Financial Programs from Central Europe-Tax Free,tax_expenditure_Dochody z Tyt. PÅ‚atn. Progr.Finans.z Udz.Å›rod.Europ.-od Podatku,CIT_ID_NO_x,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_environmental_finances_art_17_1_53,weight_x,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_environmental_finances_art_17_1_53,"tax_expenditure_Income from Environmental Finances, Received by Project Participant-Free of Tax","tax_expenditure_Dochody z Tyt. Å›rod.Fin., Otrz. Przez Uczest.Proj.-Wolne od Podatku",CIT_ID_NO_y,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_other_art_17_1,weight_y,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_other_art_17_1,tax_expenditure_Other Income-Free of Tax Pursuant to Article 17 clause 1,tax_expenditure_PozostaÅ‚e Dochody (Przychody) Wolne od Podatku z Art.17 Ust.1 ,CIT_ID_NO,tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_other,weight,weighted_tax_collected_under_benchmark_percent_exempt_rate_tax_free_income_other,tax_expenditure_Tax-Free Income-Other,tax_expenditure_Dochody Wolne od Podatku-Inne
11,0.0,Wholesale/Retail Trade,Mazowieckie,0,16145806.48,15822890.35,322916.1300000008,0.0,322916.1300000008,0.0,322916.1300000008,61354.064700000155,800,61354.064700000155,49083251.760000125,A11,11,61354,800,49083252,0.0,0.0,11,61354,800,49083252,0.0,0.0,11,61354,800,49083252,0.0,0.0,11,61354,800,49083252,0.0,0.0,11,61354,800,49083252,0.0,0.0,11,61354,800,49083252,0.0,0.0,11,61354,800,49083252,0.0,0.0,11,61354,800,49083252,0.0,0.0,11,61354,800,49083252,0.0,0.0,11,61354,800,49083252,0.0,0.0,11,61354,800,49083252,0.0,0.0,11,61354,800,49083252,0.0,0.0,11,61354,800,49083252,0.0,0.0,11,61354,800,49083252,0.0,0.0,11,61354,800,49083252,0.0,0.0,11,61354,800,49083252,0.0,0.0
12,0.0,Wholesale/Retail Trade,Wielkopolskie,0,15689521.12,15375730.7,313790.4199999999,0.0,313790.4199999999,0.0,313790.4199999999,59620.17979999998,800,59620.17979999998,47696143.83999999,A12,12,59620,800,47696144,0.0,0.0,12,59620,800,47696144,0.0,0.0,12,59620,800,47696144,0.0,0.0,12,59620,800,47696144,0.0,0.0,12,59620,800,47696144,0.0,0.0,12,59620,800,47696144,0.0,0.0,12,59620,800,47696144,0.0,0.0,12,59620,800,47696144,0.0,0.0,12,59620,800,47696144,0.0,0.0,12,59620,800,47696144,0.0,0.0,12,59620,800,47696144,0.0,0.0,12,59620,800,47696144,0.0,0.0,12,59620,800,47696144,0.0,0.0,12,59620,800,47696144,0.0,0.0,12,59620,800,47696144,0.0,0.0,12,59620,800,47696144,0.0,0.0
13,0.0,Utilities,Łódzkie,0,11712683.96,11478430.28,234253.68000000156,0.0,204693.68000000156,0.0,204693.68000000156,38891.7992000003,800,38891.7992000003,31113439.360000238,A13,13,38892,800,31113439,0.0,0.0,13,38892,800,31113439,0.0,0.0,13,38892,800,31113439,0.0,0.0,13,38892,800,31113439,0.0,0.0,13,38892,800,31113439,0.0,0.0,13,38892,800,31113439,0.0,0.0,13,38892,800,31113439,0.0,0.0,13,38892,800,31113439,0.0,0.0,13,38892,800,31113439,0.0,0.0,13,38892,800,31113439,0.0,0.0,13,38892,800,31113439,0.0,0.0,13,38892,800,31113439,0.0,0.0,13,38892,800,31113439,0.0,0.0,13,38892,800,31113439,0.0,0.0,13,38892,800,31113439,0.0,0.0,13,38892,800,31113439,0.0,0.0
14,0.0,Utilities,Śląskie,0,11256398.6,11031270.63,225127.9699999988,0.0,200502.66999999882,0.0,200502.66999999882,38095.50729999978,800,38095.50729999978,30476405.839999825,A14,14,38096,800,30476406,0.0,0.0,14,38096,800,30476406,0.0,0.0,14,38096,800,30476406,0.0,0.0,14,38096,800,30476406,0.0,0.0,14,38096,800,30476406,0.0,0.0,14,38096,800,30476406,0.0,0.0,14,38096,800,30476406,0.0,0.0,14,38096,800,30476406,0.0,0.0,14,38096,800,30476406,0.0,0.0,14,38096,800,30476406,0.0,0.0,14,38096,800,30476406,0.0,0.0,14,38096,800,30476406,0.0,0.0,14,38096,800,30476406,0.0,0.0,14,38096,800,30476406,0.0,0.0,14,38096,800,30476406,0.0,0.0,14,38096,800,30476406,0.0,0.0
15,0.0,Construction,Mazowieckie,0,9715249.92,10492469.91,0.0,0.0,0.0,0.0,0.0,0.0,800,0.0,0.0,A15,15,0,800,0,0.0,0.0,15,0,800,0,0.0,0.0,15,0,800,0,0.0,0.0,15,0,800,0,0.0,0.0,15,0,800,0,0.0,0.0,15,0,800,0,0.0,0.0,15,0,800,0,0.0,0.0,15,0,800,0,0.0,0.0,15,0,800,0,0.0,0.0,15,0,800,0,0.0,0.0,15,0,800,0,0.0,0.0,15,0,800,0,0.0,0.0,15,0,800,0,0.0,0.0,15,0,800,0,0.0,0.0,15,0,800,0,0.0,0.0,15,0,800,0,0.0,0.0
16,0.0,Construction,Małopolskie,0,9258964.56,9999681.72,0.0,0.0,0.0,0.0,0.0,0.0,800,0.0,0.0,A16,16,0,800,0,0.0,0.0,16,0,800,0,0.0,0.0,16,0,800,0,0.0,0.0,16,0,800,0,0.0,0.0,16,0,800,0,0.0,0.0,16,0,800,0,0.0,0.0,16,0,800,0,0.0,0.0,16,0,800,0,0.0,0.0,16,0,800,0,0.0,0.0,16,0,800,0,0.0,0.0,16,0,800,0,0.0,0.0,16,0,800,0,0.0,0.0,16,0,800,0,0.0,0.0,16,0,800,0,0.0,0.0,16,0,800,0,0.0,0.0,16,0,800,0,0.0,0.0
17,0.0,Manufacturing,Mazowieckie,0,8699801.64,8642700.57,57101.0700000003,0.0,56101.0700000003,0.0,56101.0700000003,10659.203300000057,800,10659.203300000057,8527362.640000045,A17,17,10659,800,8527363,0.0,0.0,17,10659,800,8527363,0.0,0.0,17,10659,800,8527363,0.0,0.0,17,10659,800,8527363,0.0,0.0,17,10659,800,8527363,0.0,0.0,17,10659,800,8527363,0.0,0.0,17,10659,800,8527363,0.0,0.0,17,10659,800,8527363,0.0,0.0,17,10659,800,8527363,0.0,0.0,17,10659,800,8527363,0.0,0.0,17,10659,800,8527363,0.0,0.0,17,10659,800,8527363,0.0,0.0,17,10659,800,8527363,0.0,0.0,17,10659,800,8527363,0.0,0.0,17,10659,800,8527363,0.0,0.0,17,10659,800,8527363,0.0,0.0
18,0.0,Manufacturing,Mazowieckie,0,8699738.12,8179135.54,520602.57999999914,0.0,185409.84999999916,0.0,185409.84999999916,35227.87149999984,800,35227.87149999984,28182297.199999873,A18,18,35228,800,28182297,0.0,0.0,18,35228,800,28182297,0.0,0.0,18,35228,800,28182297,0.0,0.0,18,35228,800,28182297,0.0,0.0,18,35228,800,28182297,0.0,0.0,18,35228,800,28182297,0.0,0.0,18,35228,800,28182297,0.0,0.0,18,35228,800,28182297,0.0,0.0,18,35228,800,28182297,0.0,0.0,18,35228,800,28182297,0.0,0.0,18,35228,800,28182297,0.0,0.0,18,35228,800,28182297,0.0,0.0,18,35228,800,28182297,0.0,0.0,18,35228,800,28182297,0.0,0.0,18,35228,800,28182297,0.0,0.0,18,35228,800,28182297,0.0,0.0
19,0.0,Construction,Dolnośląskie,0,8699725.65,8397049.8,302675.8499999996,0.0,302675.8499999996,0.0,302675.8499999996,57508.41149999993,800,57508.41149999993,46006729.19999994,A19,19,57508,800,46006729,0.0,0.0,19,57508,800,46006729,0.0,0.0,19,57508,800,46006729,0.0,0.0,19,57508,800,46006729,0.0,0.0,19,57508,800,46006729,0.0,0.0,19,57508,800,46006729,0.0,0.0,19,57508,800,46006729,0.0,0.0,19,57508,800,46006729,0.0,0.0,19,57508,800,46006729,0.0,0.0,19,57508,800,46006729,0.0,0.0,19,57508,800,46006729,0.0,0.0,19,57508,800,46006729,0.0,0.0,19,57508,800,46006729,0.0,0.0,19,57508,800,46006729,0.0,0.0,19,57508,800,46006729,0.0,0.0,19,57508,800,46006729,0.0,0.0
20,0.0,Transportation and Storage,Małopolskie,0,8698383.32,8136540.26,561843.0600000005,0.0,561843.0600000005,0.0,561843.0600000005,106750.1814000001,800,106750.1814000001,85400145.12000008,A20,20,106750,800,85400145,0.0,0.0,20,106750,800,85400145,0.0,0.0,20,106750,800,85400145,0.0,0.0,20,106750,800,85400145,0.0,0.0,20,106750,800,85400145,0.0,0.0,20,106750,800,85400145,0.0,0.0,20,106750,800,85400145,0.0,0.0,20,106750,800,85400145,0.0,0.0,20,106750,800,85400145,0.0,0.0,20,106750,800,85400145,0.0,0.0,20,106750,800,85400145,0.0,0.0,20,106750,800,85400145,0.0,0.0,20,106750,800,85400145,0.0,0.0,20,106750,800,85400145,0.0,0.0,20,106750,800,85400145,0.0,0.0,20,106750,800,85400145,0.0,0.0
